,lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playerId1,playerId2,playerId3,corsi_influence_on_player2,corsi_influence_on_player_1
73,84734468477073,2021,Macdermid-Johnson,COL,pairing,5on5,31,7478.0,181.0,0.54,0.52,0.5,61.3,5.09,3.8,15.56,2.0,34.3,25.24,5.0,5.16,5.07,65.0,21.0,34.0,120.0,5.0,6.0,0.0,17.0,2.0,27.0,29.0,60.0,81.0,10.0,26.0,46.0,65.0,20.0,12.0,69.0,9.0,8.0,1.71,1.12,2.27,4.0,1.0,0.0,124.72,86.0,88.41,10.0,0.77,1.5,1.5,4.36,4.47,4.41,62.01,4.31,3.72,14.86,2.05,34.25,25.81,4.22,4.15,4.07,61.0,24.0,26.0,111.0,2.0,2.0,0.0,15.0,2.0,26.0,38.0,59.0,83.0,9.0,24.0,57.0,54.0,12.0,11.0,70.0,13.0,2.0,1.98,1.71,0.62,1.0,0.0,1.0,107.06,85.0,82.57,6.0,0.77,0.22,0.22,4.86,4.69,4.62,8473446,8477073,,0.014183262474826708,0.011499077860636642
76,84759068476902,2021,Lindell-Klingberg,DAL,pairing,5on5,66,32124.0,232.0,0.51,0.46,0.46,253.13,24.1,17.37,61.16,8.35,138.56,100.45,23.29,24.19,23.39,255.0,95.0,122.0,472.0,19.0,21.0,1.0,54.0,12.0,109.0,135.0,236.0,331.0,22.0,46.0,309.0,184.0,56.0,106.0,248.0,76.0,26.0,7.54,9.21,7.36,8.0,8.0,3.0,473.02,350.0,350.66,49.0,3.65,5.05,5.05,22.7,22.83,22.34,296.56,23.44,19.89,71.3,9.62,169.49,123.26,22.48,23.35,22.43,297.0,120.0,144.0,561.0,27.0,21.0,4.0,79.0,7.0,122.0,161.0,270.0,390.0,31.0,64.0,259.0,229.0,53.0,90.0,321.0,79.0,17.0,9.09,9.57,4.77,8.0,15.0,4.0,558.76,417.0,416.16,54.0,4.1,4.01,4.01,23.53,23.47,22.98,8475906,8476902,,0.0,-0.049681813540283726
77,84788518479602,2021,Davies-Carrier,NSH,pairing,5on5,4,768.0,31.0,0.45,0.55,0.53,6.4,0.43,0.42,1.79,0.26,3.96,3.13,0.43,0.46,0.46,5.0,5.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,5.0,10.0,1.0,2.0,6.0,8.0,2.0,1.0,8.0,2.0,0.0,0.21,0.22,0.0,0.0,0.0,0.0,13.62,10.0,10.9,0.0,0.09,0.0,0.0,0.52,0.56,0.55,6.96,0.52,0.47,1.56,0.23,3.5,2.71,0.51,0.5,0.49,7.0,2.0,1.0,10.0,1.0,0.0,0.0,2.0,0.0,3.0,3.0,6.0,8.0,1.0,2.0,3.0,11.0,2.0,2.0,8.0,1.0,0.0,0.33,0.19,0.0,1.0,0.0,0.0,9.48,9.0,8.73,1.0,0.1,0.0,0.0,0.62,0.59,0.58,8478851,8479602,,0.0,0.07072548649159266
80,84768858480817,2021,Miller-Trouba,NYR,pairing,5on5,81,76887.0,116.0,0.48,0.49,0.5,608.51,49.92,40.78,147.32,20.28,342.48,252.22,48.54,49.82,48.46,614.0,239.0,280.0,1133.0,58.0,51.0,11.0,154.0,22.0,255.0,313.0,556.0,795.0,91.0,205.0,579.0,690.0,168.0,204.0,648.0,161.0,44.0,17.37,19.5,13.04,23.0,23.0,12.0,1142.36,853.0,856.81,109.0,8.38,12.0,12.0,46.3,46.41,45.86,625.7,54.4,42.67,146.54,20.25,345.84,256.32,52.57,54.39,52.56,636.0,230.0,290.0,1156.0,42.0,46.0,9.0,119.0,12.0,294.0,353.0,594.0,824.0,77.0,179.0,544.0,457.0,150.0,170.0,633.0,186.0,47.0,18.37,23.35,12.68,17.0,16.0,9.0,1152.62,866.0,863.61,84.0,8.83,10.56,10.68,52.55,52.52,51.66,8476885,8480817,,-0.07473059437615781,0.0
81,84735078475279,2021,Chiarot-Petry,MTL,pairing,5on5,41,19621.0,176.0,0.48,0.51,0.48,163.48,14.39,11.15,38.08,5.42,91.02,67.94,13.73,14.09,13.45,184.0,44.0,87.0,315.0,10.0,16.0,3.0,34.0,4.0,69.0,95.0,174.0,218.0,19.0,41.0,158.0,163.0,31.0,51.0,174.0,40.0,14.0,5.35,5.01,4.03,3.0,4.0,3.0,310.36,228.0,224.83,40.0,2.31,3.59,3.95,12.74,12.49,12.05,175.16,15.47,12.03,42.05,5.75,97.32,70.37,14.78,15.77,15.06,174.0,69.0,62.0,305.0,13.0,13.0,3.0,36.0,3.0,80.0,98.0,161.0,230.0,15.0,37.0,169.0,117.0,22.0,66.0,175.0,50.0,18.0,4.64,5.83,5.0,4.0,3.0,6.0,312.17,243.0,247.94,59.0,2.5,3.38,3.38,14.6,14.87,14.52,8473507,8475279,,0.026306367113425322,0.01384823582481809
82,84757968477462,2021,Hagg-Pysyk,BUF,pairing,5on5,42,20841.0,173.0,0.44,0.46,0.46,146.97,10.72,9.76,35.32,5.1,83.85,60.25,10.58,10.84,10.7,154.0,51.0,72.0,277.0,8.0,10.0,1.0,40.0,3.0,58.0,86.0,146.0,197.0,12.0,24.0,125.0,112.0,41.0,38.0,164.0,37.0,4.0,5.22,4.33,1.18,1.0,5.0,2.0,276.9,205.0,205.45,16.0,2.0,1.25,1.25,11.47,11.59,11.51,173.95,13.41,11.76,42.32,5.75,98.94,70.83,12.46,13.35,12.43,182.0,61.0,80.0,323.0,12.0,15.0,1.0,36.0,6.0,82.0,92.0,170.0,231.0,12.0,26.0,137.0,122.0,34.0,43.0,190.0,40.0,13.0,5.2,4.76,3.45,7.0,4.0,1.0,321.96,243.0,242.48,19.0,2.42,3.39,3.54,12.28,12.31,11.94,8475796,8477462,,-0.01643717568569303,0.0
83,84746128478469,2021,Chabot-Hamonic,OTT,pairing,5on5,4,3760.0,4.0,0.35,0.4,0.38,27.99,2.72,2.06,5.91,0.87,15.63,10.81,2.67,2.67,2.63,26.0,12.0,17.0,55.0,3.0,1.0,0.0,7.0,2.0,14.0,11.0,23.0,35.0,2.0,4.0,36.0,32.0,4.0,13.0,22.0,14.0,2.0,0.6,1.68,0.44,1.0,2.0,0.0,54.31,38.0,37.89,12.0,0.43,0.23,0.23,2.92,2.87,2.83,45.75,5.07,3.38,11.29,1.55,23.22,16.49,4.74,5.12,4.79,51.0,10.0,23.0,84.0,6.0,9.0,1.0,12.0,0.0,17.0,17.0,45.0,55.0,7.0,17.0,36.0,14.0,4.0,3.0,40.0,12.0,9.0,1.15,1.39,2.53,0.0,5.0,1.0,85.08,61.0,61.27,2.0,0.72,2.16,2.16,3.63,3.67,3.57,8474612,8478469,,-0.10521483453995728,-0.07675894301635805
87,84650098480306,2021,Chara-Hutton,NYI,pairing,5on5,10,1003.0,67.0,0.07,0.16,0.06,0.82,0.04,0.04,0.28,0.03,0.31,0.3,0.04,0.04,0.04,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,2.0,10.0,0.0,1.0,1.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,3.83,1.0,1.04,1.0,0.01,0.0,0.0,0.05,0.05,0.05,10.37,0.61,0.79,2.63,0.39,6.86,4.71,0.6,0.63,0.62,13.0,3.0,5.0,21.0,1.0,1.0,0.0,4.0,0.0,6.0,4.0,12.0,15.0,1.0,2.0,3.0,2.0,2.0,2.0,15.0,1.0,0.0,0.46,0.15,0.0,1.0,0.0,0.0,21.85,16.0,16.32,0.0,0.16,0.15,0.15,0.62,0.64,0.63,8465009,8480306,,-0.2929363936647751,-0.27382856900500463
92,84799988481600,2021,Anderson-Bjornfot,LAK,pairing,5on5,27,14531.0,108.0,0.52,0.49,0.5,122.3,10.77,8.35,28.78,3.82,66.51,46.78,10.34,10.66,10.22,116.0,49.0,47.0,212.0,10.0,10.0,3.0,30.0,5.0,59.0,51.0,106.0,155.0,13.0,29.0,120.0,89.0,28.0,31.0,126.0,25.0,14.0,3.92,3.09,3.76,3.0,4.0,3.0,210.78,165.0,164.03,27.0,1.74,2.55,2.17,10.34,10.17,9.97,120.38,10.09,8.15,28.34,3.83,65.71,49.88,9.8,10.42,10.12,118.0,48.0,52.0,218.0,8.0,11.0,0.0,34.0,1.0,36.0,76.0,110.0,158.0,20.0,43.0,100.0,136.0,15.0,27.0,124.0,34.0,8.0,3.79,4.16,2.15,3.0,4.0,1.0,221.95,166.0,169.02,21.0,1.68,1.83,1.83,9.94,10.25,10.13,8479998,8481600,,0.0,-0.06571938554738221
97,84751818481542,2021,Leddy-Seider,DET,pairing,5on5,49,15204.0,234.0,0.51,0.47,0.48,122.36,10.81,8.33,29.6,4.05,66.44,49.75,10.31,10.48,10.0,136.0,33.0,50.0,219.0,10.0,11.0,0.0,36.0,6.0,50.0,56.0,126.0,159.0,18.0,39.0,114.0,84.0,29.0,22.0,128.0,28.0,13.0,3.75,3.43,3.64,5.0,5.0,0.0,208.72,169.0,162.2,16.0,1.73,2.69,2.92,9.62,9.33,9.22,132.62,10.59,8.98,30.26,4.22,74.94,55.0,10.34,10.91,10.66,129.0,55.0,64.0,248.0,14.0,8.0,5.0,36.0,5.0,56.0,65.0,115.0,170.0,25.0,57.0,125.0,74.0,33.0,34.0,138.0,40.0,6.0,3.99,4.95,1.65,3.0,6.0,5.0,262.18,184.0,191.66,22.0,1.86,1.6,1.6,10.85,11.19,11.0,8475181,8481542,,0.0,0.012209113100081326
99,84768758477969,2021,Matheson-Pettersson,PIT,pairing,5on5,47,3330.0,349.0,0.5,0.41,0.44,23.57,2.28,1.52,5.48,0.77,12.21,9.75,2.21,2.35,2.28,26.0,6.0,9.0,41.0,0.0,5.0,0.0,4.0,0.0,8.0,15.0,26.0,32.0,5.0,10.0,15.0,24.0,10.0,9.0,24.0,4.0,4.0,0.71,0.44,1.13,0.0,0.0,0.0,42.12,32.0,32.74,5.0,0.32,1.08,0.93,1.67,1.73,1.72,28.37,2.25,1.81,6.63,0.91,16.22,12.16,2.19,2.26,2.19,29.0,11.0,18.0,58.0,3.0,3.0,1.0,6.0,1.0,13.0,14.0,26.0,37.0,2.0,4.0,13.0,38.0,7.0,9.0,30.0,8.0,2.0,0.79,0.86,0.6,1.0,1.0,1.0,57.93,40.0,40.19,5.0,0.37,0.59,0.59,2.03,2.04,2.02,8476875,8477969,,-0.1371143321993788,-0.1358798761273498
100,84773558480196,2021,Bryson-Butcher,BUF,pairing,5on5,16,924.0,122.0,0.81,0.52,0.67,9.17,0.87,0.69,1.81,0.26,4.5,3.87,0.81,0.83,0.78,9.0,3.0,2.0,14.0,0.0,1.0,0.0,2.0,0.0,4.0,5.0,9.0,12.0,2.0,6.0,4.0,5.0,2.0,3.0,7.0,5.0,0.0,0.21,0.66,0.0,0.0,0.0,0.0,14.02,12.0,11.83,2.0,0.14,0.18,0.18,0.82,0.8,0.76,4.16,0.21,0.27,1.05,0.13,2.73,1.61,0.21,0.21,0.21,4.0,2.0,7.0,13.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,5.0,1.0,2.0,7.0,7.0,0.0,1.0,6.0,0.0,0.0,0.21,0.0,0.0,1.0,0.0,0.0,12.83,6.0,6.04,0.0,0.05,0.0,0.0,0.26,0.26,0.26,8477355,8480196,,0.030397881410670513,0.0308308356312193
110,84752278479348,2021,Clague-Wideman,MTL,pairing,5on5,19,8954.0,74.0,0.41,0.46,0.48,60.76,4.37,3.94,14.69,1.98,33.4,24.64,4.13,4.34,4.12,63.0,20.0,24.0,107.0,5.0,8.0,0.0,9.0,1.0,20.0,40.0,58.0,78.0,14.0,31.0,68.0,56.0,10.0,47.0,68.0,12.0,3.0,1.89,1.59,0.89,4.0,1.0,0.0,105.74,83.0,81.81,34.0,0.8,1.0,1.0,4.17,4.14,4.08,66.13,6.15,4.24,16.04,2.15,35.19,27.24,5.95,6.39,6.17,70.0,21.0,33.0,124.0,12.0,5.0,2.0,11.0,3.0,27.0,33.0,58.0,79.0,12.0,27.0,70.0,57.0,17.0,30.0,66.0,16.0,9.0,1.91,1.89,2.35,8.0,3.0,1.0,127.89,91.0,93.83,25.0,0.88,1.22,1.22,5.82,6.02,5.96,8475227,8479348,,0.014042620434331243,-0.04962769818015639
111,84746978479026,2021,Borowiecki-Myers,NSH,pairing,5on5,15,7457.0,49.0,0.39,0.41,0.42,50.23,3.93,3.18,12.7,1.67,28.74,20.78,3.85,4.08,3.99,42.0,29.0,20.0,91.0,5.0,3.0,1.0,10.0,3.0,19.0,31.0,37.0,66.0,10.0,38.0,51.0,109.0,16.0,11.0,56.0,11.0,4.0,1.42,1.35,1.16,2.0,2.0,1.0,95.48,71.0,73.47,5.0,0.66,0.79,1.16,3.44,3.56,3.52,68.01,6.05,4.97,15.85,2.32,39.78,28.04,5.83,5.93,5.71,70.0,27.0,33.0,130.0,4.0,4.0,0.0,19.0,3.0,33.0,34.0,66.0,93.0,10.0,35.0,49.0,66.0,17.0,19.0,73.0,20.0,4.0,2.35,2.51,1.19,3.0,1.0,0.0,126.05,97.0,94.8,14.0,1.03,1.15,1.15,5.93,5.77,5.63,8474697,8479026,,-0.10619149968799829,-0.08699075581016863
112,84757968480196,2021,Bryson-Pysyk,BUF,pairing,5on5,39,7703.0,266.0,0.43,0.46,0.45,50.78,3.74,3.51,11.81,1.73,31.24,21.98,3.69,3.67,3.62,48.0,26.0,15.0,89.0,3.0,2.0,1.0,6.0,0.0,22.0,41.0,45.0,71.0,3.0,6.0,54.0,18.0,14.0,24.0,59.0,14.0,1.0,2.02,1.43,0.29,1.0,1.0,1.0,86.83,74.0,72.74,15.0,0.71,0.21,0.21,4.24,4.16,4.11,63.67,4.96,3.93,15.58,2.31,34.35,27.86,4.75,5.12,4.9,73.0,16.0,14.0,103.0,8.0,5.0,1.0,13.0,3.0,18.0,42.0,65.0,81.0,7.0,14.0,52.0,51.0,9.0,19.0,71.0,14.0,4.0,2.28,1.67,1.02,3.0,3.0,2.0,106.0,89.0,91.43,5.0,0.82,0.86,0.86,4.92,5.09,5.03,8475796,8480196,,-0.03367451105104152,0.0
113,84745908474602,2021,Carlson-Schultz,WSH,pairing,5on5,33,1302.0,325.0,0.3,0.42,0.44,9.13,0.6,0.5,2.14,0.31,4.38,4.08,0.6,0.6,0.59,7.0,5.0,5.0,17.0,0.0,2.0,0.0,3.0,0.0,0.0,7.0,7.0,12.0,1.0,2.0,5.0,7.0,2.0,2.0,8.0,4.0,0.0,0.12,0.48,0.0,0.0,0.0,0.0,16.56,12.0,11.92,2.0,0.1,0.26,0.26,0.44,0.45,0.45,11.74,1.43,0.8,2.49,0.36,5.55,4.37,1.34,1.48,1.38,11.0,4.0,8.0,23.0,3.0,1.0,1.0,2.0,0.0,5.0,4.0,8.0,12.0,4.0,8.0,4.0,10.0,6.0,0.0,6.0,7.0,2.0,0.16,0.73,0.53,1.0,1.0,1.0,23.8,15.0,15.37,0.0,0.17,0.29,0.29,1.31,1.34,1.31,8474590,8474602,,-0.09176950258222344,-0.09148641449120937
116,84742078478469,2021,Chabot-Holden,OTT,pairing,5on5,42,2698.0,296.0,0.48,0.57,0.58,29.83,2.62,1.72,7.1,1.04,16.13,13.38,2.52,2.67,2.56,33.0,9.0,12.0,54.0,4.0,1.0,1.0,10.0,0.0,12.0,15.0,29.0,38.0,2.0,4.0,9.0,19.0,8.0,7.0,31.0,8.0,3.0,0.82,0.85,0.95,2.0,1.0,1.0,54.11,42.0,41.59,4.0,0.35,0.35,0.35,2.62,2.65,2.64,23.75,2.79,1.76,4.79,0.71,12.09,8.86,2.74,2.76,2.71,24.0,7.0,10.0,41.0,2.0,1.0,0.0,4.0,0.0,14.0,10.0,22.0,29.0,3.0,6.0,8.0,20.0,7.0,8.0,15.0,15.0,1.0,0.52,2.05,0.22,0.0,1.0,1.0,41.11,31.0,31.3,4.0,0.37,0.17,0.17,2.98,2.96,2.92,8474207,8478469,,0.07258132414848828,0.10379951837091073
117,84768858479323,2021,Fox-Trouba,NYR,pairing,5on5,52,2816.0,358.0,0.46,0.5,0.5,25.27,2.12,1.85,5.93,0.88,14.74,10.48,2.1,2.11,2.09,29.0,7.0,14.0,50.0,2.0,2.0,1.0,6.0,0.0,11.0,15.0,27.0,34.0,2.0,7.0,3.0,20.0,5.0,8.0,27.0,8.0,1.0,0.73,1.08,0.31,0.0,2.0,0.0,50.08,36.0,35.96,2.0,0.38,0.13,0.26,2.24,2.24,2.24,25.77,2.45,1.84,6.24,0.86,14.27,10.32,2.41,2.45,2.4,25.0,11.0,14.0,50.0,1.0,2.0,0.0,10.0,1.0,10.0,12.0,24.0,35.0,5.0,13.0,3.0,16.0,6.0,8.0,24.0,10.0,2.0,0.75,1.29,0.41,1.0,0.0,0.0,50.32,36.0,36.55,4.0,0.38,0.24,0.24,2.6,2.6,2.58,8476885,8479323,,0.0,0.010326560905464355
119,84768848478840,2021,Pouliot-Borgen,SEA,pairing,5on5,7,4771.0,21.0,0.46,0.61,0.6,41.03,2.93,2.57,9.48,1.3,24.8,17.92,2.88,2.89,2.84,34.0,25.0,25.0,84.0,3.0,1.0,1.0,7.0,0.0,30.0,18.0,31.0,56.0,5.0,13.0,40.0,50.0,3.0,11.0,48.0,9.0,2.0,1.28,1.12,0.53,2.0,0.0,1.0,82.66,59.0,58.5,7.0,0.53,0.26,0.26,3.19,3.15,3.11,30.08,3.41,1.93,6.91,0.98,15.16,11.62,3.22,3.32,3.14,25.0,15.0,14.0,54.0,0.0,4.0,0.0,7.0,2.0,11.0,16.0,25.0,40.0,3.0,9.0,29.0,38.0,5.0,7.0,25.0,12.0,3.0,0.79,1.58,1.04,0.0,0.0,0.0,52.77,40.0,39.02,3.0,0.41,0.88,0.88,2.95,2.91,2.85,8476884,8478840,,0.10650801583945246,0.15115585384041752
133,84779328477986,2021,Ekblad-Montour,FLA,pairing,5on5,14,896.0,115.0,0.45,0.73,0.59,9.18,0.64,0.66,1.95,0.3,5.33,4.13,0.63,0.66,0.66,10.0,3.0,14.0,27.0,1.0,0.0,0.0,3.0,0.0,7.0,2.0,9.0,12.0,1.0,2.0,5.0,4.0,2.0,3.0,11.0,2.0,0.0,0.4,0.24,0.0,0.0,1.0,0.0,27.81,13.0,13.43,2.0,0.13,0.0,0.0,0.77,0.8,0.79,6.53,0.79,0.54,1.34,0.21,3.61,2.5,0.79,0.78,0.78,7.0,2.0,1.0,10.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,7.0,9.0,2.0,4.0,4.0,6.0,4.0,1.0,5.0,3.0,1.0,0.2,0.33,0.26,0.0,0.0,0.0,9.82,9.0,9.0,1.0,0.11,0.0,0.0,0.9,0.89,0.89,8477932,8477986,,0.17205977011494245,0.15211407179035452
136,84751718476779,2021,Ekman-Larsson-Hunt,VAN,pairing,5on5,39,1974.0,327.0,0.52,0.5,0.49,20.25,1.91,1.42,4.56,0.63,9.83,8.63,1.8,1.99,1.87,22.0,5.0,6.0,33.0,4.0,3.0,0.0,8.0,0.0,3.0,9.0,18.0,23.0,3.0,6.0,4.0,15.0,2.0,1.0,19.0,6.0,2.0,0.6,0.84,0.47,2.0,1.0,1.0,33.21,27.0,27.5,1.0,0.3,0.55,0.55,1.66,1.71,1.69,20.34,1.74,1.23,4.44,0.67,11.11,8.8,1.72,1.75,1.73,20.0,8.0,5.0,33.0,3.0,0.0,0.0,5.0,0.0,8.0,12.0,17.0,25.0,2.0,4.0,2.0,18.0,7.0,0.0,19.0,8.0,1.0,0.64,0.89,0.21,1.0,2.0,0.0,33.62,28.0,28.06,0.0,0.26,0.0,0.0,2.0,2.01,1.98,8475171,8476779,,0.0,0.010238207291025592
138,84793728481122,2021,Mahura-Benoit,ANA,pairing,5on5,5,2762.0,21.0,0.57,0.48,0.49,21.3,1.69,1.4,4.87,0.78,12.52,9.75,1.66,1.74,1.72,19.0,12.0,8.0,39.0,1.0,1.0,1.0,3.0,1.0,7.0,18.0,18.0,30.0,6.0,12.0,15.0,32.0,1.0,3.0,27.0,3.0,1.0,0.78,0.37,0.54,0.0,0.0,1.0,38.15,31.0,29.97,1.0,0.28,0.54,0.54,1.43,1.4,1.39,22.56,1.29,1.54,5.4,0.7,12.98,10.1,1.28,1.36,1.36,21.0,11.0,11.0,43.0,3.0,0.0,0.0,3.0,0.0,11.0,15.0,18.0,29.0,6.0,12.0,23.0,30.0,3.0,3.0,27.0,5.0,0.0,0.64,0.65,0.0,1.0,2.0,0.0,44.93,32.0,33.83,2.0,0.32,0.0,0.0,1.6,1.7,1.69,8479372,8481122,,0.021399012283145447,0.03292522770599443
148,84745788478467,2021,Karlsson-Meloche,SJS,pairing,5on5,18,3339.0,133.0,0.3,0.44,0.45,24.89,2.02,1.63,5.66,0.8,14.24,10.65,1.98,2.06,2.03,30.0,5.0,9.0,44.0,4.0,2.0,1.0,4.0,0.0,13.0,12.0,26.0,31.0,6.0,12.0,25.0,24.0,9.0,12.0,27.0,7.0,1.0,0.93,0.79,0.3,1.0,2.0,1.0,45.01,35.0,35.52,7.0,0.34,0.4,0.4,1.96,2.0,1.99,31.72,4.77,2.49,6.37,0.97,16.29,11.12,4.65,4.72,4.6,32.0,10.0,13.0,55.0,6.0,4.0,1.0,4.0,0.0,13.0,15.0,26.0,36.0,5.0,10.0,25.0,17.0,11.0,11.0,14.0,23.0,5.0,0.48,2.75,1.54,0.0,5.0,1.0,55.1,42.0,42.18,5.0,0.53,0.99,0.99,4.3,4.28,4.22,8474578,8478467,,0.02155955161139661,-0.06389880315267099
151,84752468481178,2021,Zamula-Connauton,PHI,pairing,5on5,4,2442.0,12.0,0.59,0.47,0.45,22.67,2.38,1.53,5.49,0.72,11.37,8.51,2.23,2.22,2.09,24.0,6.0,6.0,36.0,0.0,4.0,0.0,5.0,0.0,8.0,13.0,24.0,30.0,3.0,6.0,11.0,26.0,5.0,8.0,17.0,9.0,4.0,0.41,1.03,0.95,0.0,0.0,0.0,33.58,30.0,28.46,6.0,0.32,0.95,0.95,1.76,1.66,1.61,24.84,1.68,1.55,6.05,0.82,15.14,10.75,1.67,1.76,1.75,26.0,10.0,5.0,41.0,1.0,0.0,0.0,6.0,2.0,13.0,14.0,25.0,35.0,0.0,0.0,17.0,19.0,1.0,10.0,29.0,7.0,0.0,0.91,0.77,0.0,1.0,0.0,0.0,43.51,36.0,38.23,4.0,0.32,0.0,0.0,1.99,2.09,2.08,8475246,8481178,,-0.054947207345065086,0.0
156,84717248478507,2021,Letang-Marino,PIT,pairing,5on5,60,3653.0,480.0,0.57,0.49,0.52,33.25,2.79,2.09,7.65,1.12,18.75,15.59,2.67,2.82,2.7,33.0,15.0,8.0,56.0,1.0,5.0,0.0,6.0,0.0,12.0,24.0,32.0,47.0,1.0,2.0,5.0,25.0,12.0,12.0,39.0,7.0,2.0,1.39,0.9,0.5,0.0,1.0,0.0,56.92,48.0,48.69,6.0,0.43,0.83,0.83,2.39,2.44,2.4,31.1,2.13,2.05,7.1,1.0,18.0,13.71,2.11,2.13,2.11,30.0,14.0,14.0,58.0,2.0,2.0,0.0,10.0,0.0,11.0,19.0,28.0,42.0,1.0,2.0,10.0,27.0,16.0,4.0,37.0,6.0,1.0,1.1,0.77,0.26,0.0,2.0,0.0,58.1,44.0,44.07,2.0,0.42,0.29,0.29,2.27,2.25,2.23,8471724,8478507,,-0.03139521560339675,-0.02081972915053798
161,84742078479458,2021,Holden-Zaitsev,OTT,pairing,5on5,54,30084.0,217.0,0.5,0.48,0.47,233.31,22.36,16.59,53.9,7.66,130.12,92.37,21.71,22.46,21.79,222.0,101.0,112.0,435.0,16.0,23.0,3.0,49.0,6.0,101.0,128.0,206.0,307.0,18.0,45.0,228.0,277.0,54.0,68.0,224.0,77.0,22.0,7.16,9.52,5.68,7.0,4.0,5.0,437.17,323.0,325.62,45.0,3.44,4.2,4.16,21.64,21.72,21.5,263.0,22.4,17.5,61.85,8.43,149.49,109.33,21.8,22.65,22.04,286.0,83.0,110.0,479.0,26.0,16.0,2.0,65.0,3.0,117.0,142.0,260.0,343.0,21.0,51.0,232.0,244.0,38.0,90.0,280.0,71.0,18.0,8.75,8.7,4.95,10.0,10.0,6.0,481.13,369.0,370.01,59.0,3.62,3.53,3.53,22.49,22.65,22.29,8474207,8479458,,0.06168849408377508,0.016896362010865862
165,84778108480036,2021,Heiskanen-Hanley,DAL,pairing,5on5,13,750.0,92.0,0.1,0.24,0.23,2.08,0.06,0.11,0.46,0.06,1.28,1.03,0.06,0.06,0.06,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,2.0,3.0,7.0,0.0,3.0,3.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,3.74,3.0,2.86,3.0,0.02,0.0,0.0,0.09,0.08,0.08,7.27,0.59,0.44,1.76,0.22,3.98,3.01,0.59,0.63,0.63,10.0,0.0,3.0,13.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,9.0,9.0,0.0,0.0,2.0,5.0,1.0,0.0,8.0,2.0,0.0,0.24,0.35,0.0,0.0,1.0,0.0,13.39,10.0,10.57,0.0,0.09,0.0,0.0,0.68,0.73,0.73,8477810,8480036,,-0.28255642392812796,-0.2462853551225644
